V1,V2
3.6216,8.6661
4.5459,8.1674
3.866,-2.6383
3.4566,9.5228
0.32924,-4.4552
4.3684,9.6718
3.5912,3.0129
2.0922,-6.81
3.2032,5.7588
1.5356,9.1772
1.2247,8.7779
3.9899,-2.7066
1.8993,7.6625
-1.5768,10.843
3.404,8.7261
4.6765,-3.3895
2.6719,3.0646
0.80355,2.8473
1.4479,-4.8794
5.2423,11.0272
5.7867,7.8902
0.3292,-4.4552
3.9362,10.1622
0.93584,8.8855
4.4338,9.887
0.7057,-5.4981
1.1432,-3.7413
-0.38214,8.3909
6.5633,9.8187
4.8906,-3.3584
-0.24811,-0.17797
1.4884,3.6274
4.2969,7.617
-0.96511,9.4111
-1.6162,0.80908
2.4391,6.4417
2.6881,6.0195
3.6289,0.81322
4.5679,3.1929
3.4805,9.7008
4.1711,8.722
-0.2062,9.2207
-0.006892,9.2931
0.96441,5.8395
2.8561,6.9176
-0.7869,9.5663
2.0843,6.6258
-0.7869,9.5663
3.9102,6.065
1.6349,3.286
4.3239,-4.8835
5.262,3.9834
3.1452,5.825
2.549,6.1499
4.9264,5.496
4.8265,0.80287
2.5635,6.7769
5.807,5.0097
3.1377,-4.1096
-0.78289,11.3603
2.888,0.44696
0.49665,5.527
4.2586,11.2962
1.7939,-1.1174
5.4021,3.1039
2.5367,2.599
4.6054,-4.0765
2.4235,9.5332
1.0009,7.7846
0.12326,8.9848
3.9529,-2.3548
4.1373,0.49248
4.7181,10.0153
4.1654,-3.4495
4.4069,10.9072
2.3066,3.5364
3.7935,7.9853
0.049175,6.1437
0.24835,7.6439
1.1317,3.9647
2.8033,9.0862
4.4682,2.2907
5.0185,8.5978
1.8664,7.7763
3.245,6.63
4.0296,2.6756
-1.1313,1.9037
0.87603,6.8141
4.1197,-2.7956
3.8027,0.81529
1.4806,7.6377
4.0632,3.584
4.3064,8.2068
2.4486,-6.3175
3.2718,1.7837
-0.64472,-4.6062
2.9543,1.076
2.1616,-6.8804
3.82,10.9279
-2.7419,11.4038
3.3669,-5.1856
4.5597,-2.4211
5.1129,-0.49871
3.3397,-4.6145
4.2027,0.22761
3.5438,1.2395
2.3136,10.6651
-1.8584,7.886
3.106,9.5414
2.9163,10.8306
3.9922,-4.4676
1.518,5.6946
3.2351,9.647
4.2188,6.8162
1.7819,6.9176
2.5331,2.9135
3.8969,7.4163
2.108,6.7955
2.8969,0.70768
0.9297,-3.7971
3.4642,10.6878
4.0713,10.4023
-1.4572,9.1214
-1.5075,1.9224
-0.91718,9.9884
2.994,7.2011
-2.343,12.9516
3.7818,-2.8846
4.6689,1.3098
3.4663,1.1112
3.2697,-4.3414
5.1302,8.6703
2.0139,6.1416
0.4339,5.5395
-1.0401,9.3987
4.1605,11.2196
5.438,9.4669
5.032,8.2026
5.2418,10.5388
-0.2062,9.2207
2.0911,0.94358
1.7317,-0.34765
4.1736,3.3336
3.9232,-3.2467
3.8481,10.1539
0.5195,-3.2633
3.8584,0.78425
1.7496,-0.1759
3.6277,0.9829
2.7391,7.4018
4.5447,8.2274
-1.7599,11.9211
5.0691,0.21313
3.4591,11.112
1.9358,8.1654
2.486,-0.99533
2.4226,-4.5752
3.9479,-3.7723
2.2634,-4.4862
1.3566,4.2358
5.0452,3.8964
3.5499,8.6165
0.17346,7.8695
2.4008,9.3593
4.8851,1.5995
4.1927,-3.2674
1.1166,8.6496
1.0235,6.901
-1.803,11.8818
0.11739,6.2761
0.5706,-0.0248
4.0552,-2.4583
-1.6952,1.0657
-1.1193,10.7271
1.8799,2.4707
3.583,-3.7971
0.19081,9.1297
3.6582,5.6864
-0.13144,-1.7775
2.3925,9.798
1.6426,3.0149
-0.11783,-1.5789
-0.69572,8.6165
2.9421,7.4101
-1.7559,11.9459
-1.2537,10.8803
3.2585,-4.4614
1.8314,6.3672
4.5645,-3.6275
2.7365,-5.0325
0.9297,-3.7971
3.9663,10.1684
1.4578,-0.08485
4.8272,3.0687
-2.341,12.3784
-1.8584,7.886
4.1454,7.257
1.9157,6.0816
4.0215,-2.1914
5.8862,5.8747
-2.0897,10.8265
4.0026,-3.5943
-0.78689,9.5663
4.1757,10.2615
0.83292,7.5404
4.8077,2.2327
5.3063,5.2684
2.5605,9.2683
2.1059,7.6046
2.1721,-0.73874
4.2899,9.1814
3.5156,10.1891
2.614,8.0081
0.68087,2.3259
4.1962,0.74493
6.0919,2.9673
1.3234,3.2964
1.3264,1.0326
-0.16735,7.6274
-1.3,10.2678
-2.2261,12.5398
2.4196,6.4665
1.0987,0.6394
4.6464,10.5326
-0.36038,4.1158
1.3562,3.2136
0.5706,-0.0248
-2.6479,10.1374
3.1219,-3.137
5.4944,1.5478
-1.3389,1.552
-2.3361,11.9604
2.2596,-0.033118
0.46901,-0.63321
2.7296,2.8701
2.0466,2.03
-1.3274,9.498
3.8905,-2.1521
3.9994,0.90427
2.3952,9.5083
3.2704,6.9321
-1.3931,1.5664
1.6406,3.5488
2.7744,6.8576
2.4287,9.3821
4.2134,-2.806
1.6472,0.48213
2.0597,-0.99326
0.3798,0.7098
1.0135,8.4551
4.5691,-4.4552
0.57461,10.1105
0.5734,9.1938
5.2868,3.257
4.0102,10.6568
4.1425,-3.6792
3.0934,-2.9177
2.2034,5.9947
3.744,0.79459
3.0329,2.2948
3.7731,7.2073
3.1557,2.8908
1.8114,7.6067
4.988,7.2052
2.483,6.6155
1.594,4.7055
-0.016103,9.7484
3.8496,9.7939
0.9297,-3.7971
4.9342,2.4107
3.8417,10.0215
5.3915,9.9946
4.4072,-0.070365
2.6946,6.7976
